Price,PricePerM2,Area,floor,Number of floors,Room count,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href,Losses,PredictedPrice,Year Built,ScrapingDate
33000,1571,21.0,7,9,1,Central,Fully equipped,0.06,0.31,0.08,0.22,8,Klaipėda,Kaunas,https://en.aruodas.lt/butai-klaipedoje-kauno-mikrorajone-kauno-g-klaipedoje-kauno-gatveje-parduodamas-1-o-1-3267234/,1609129.3503297593,-1576129.3503297593,1967-01-01,2022-11-28
12500,660,18.94,3,4,1,Central,Partial decoration,0.47,0.24,0.08,0.16,8,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-kapitaliai-suremuontuotas-1-3244675/,1609324.1019079569,-1596824.1019079569,1958-01-01,2022-11-28
48000,1371,35.0,5,5,1,Central,Partial decoration,0.11,0.53,0.32,0.31,17,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-rambyno-g-parduodamas-vieno-kambario-butas-nisa-35kvm-1-3242701/,1609430.910060091,-1561430.910060091,1988-01-01,2022-11-28
24000,1500,16.0,1,3,1,Other,Partial decoration,2.4,2.4,1.9,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-kalgrauziu-g-patraukli-kaina-parduodamos-atskiros-1-3272286/,1610028.2500899006,-1586028.2500899006,1991-01-01,2022-11-28
42000,1448,29.0,2,2,2,Solid fuel,Fully equipped,0.68,0.86,0.22,0.15,3,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-liepu-g-parduodamas-2-kamb-butas-liepu-g-22-butas-1-3264766/,1610864.634453757,-1568864.634453757,1993-01-01,2022-11-28
63500,1351,47.0,5,5,2,Central,Fully equipped,0.12,0.45,0.09,0.14,4,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-siauliu-g-parduodamas-2-kamb-butas-siauliu-g-55-1-3270942/,1611773.4713270501,-1548273.4713270501,1976-01-01,2022-11-28
49900,648,77.0,4,4,4,Other,Partial decoration,0.6,0.54,0.2,0.07,1,Klaipėda,Mažasis kaimelis,https://en.aruodas.lt/butai-klaipedoje-mazajame-kaimelyje-mazojo-kaimelio-g-parduodama-erdvi-palepe-renovuotame-name-1-3263316/,1612871.9701163906,-1562971.9701163906,1960-01-01,2022-11-28
95000,1484,64.0,6,9,3,Central,Fully equipped,0.23,0.6,0.09,0.08,24,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-taikos-pr-taikos-pr-tarp-pc-zarde-ir-pc-molas-1-3264904/,1612971.0696071042,-1517971.0696071042,1978-01-01,2022-11-28
64999,1383,47.0,3,5,2,Central,Fully equipped,0.16,0.33,0.35,0.16,23,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-statybininku-pr-parduodamas-2-kamb-butas-47kvm-53-aukste-1-3235740/,1613272.457071879,-1548273.457071879,1975-01-01,2022-11-28
65000,1383,47.0,3,5,2,Central,Fully equipped,0.21,0.17,0.18,0.06,4,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-siauliu-g-parduodamas-2-k-butas-47-kvm-35-1-3247749/,1613273.457071879,-1548273.457071879,1975-01-01,2022-11-28
65000,1016,64.0,1,5,3,Central,Fully equipped,0.18,0.09,0.19,0.28,16,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-gedminu-g-labai-tvarkingame-bendrijos-name-1-3272754/,1613273.6855478715,-1548273.6855478715,1972-01-01,2022-11-28
65000,1016,64.0,1,5,3,Central,Fully equipped,0.18,0.09,0.19,0.28,16,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-gedminu-g-gera-kaina-del-patrauklios-lokacijos-1-3264916/,1613273.6855478715,-1548273.6855478715,1972-01-01,2022-11-28
91000,698,130.32,4,4,3,Other,Partial decoration,0.5,0.12,0.14,0.16,12,Klaipėda,Senamiestis,https://en.aruodas.lt/butai-klaipedoje-senamiestyje-turgaus-g-parduodama-neirengta-palepe-paciame-klaipedos-1-3273058/,1613797.6733708477,-1522797.6733708477,1940-01-01,2022-11-28
18900,1047,18.06,4,4,1,Central,Partial decoration,0.26,0.41,0.15,0.15,10,Klaipėda,Žvejybos uostas,https://en.aruodas.lt/butai-klaipedoje-zvejybos-uoste-minijos-g-parduodamas-1-kambario-butas-minijos-1-3190674/,1615724.0958441028,-1596824.0958441028,1960-01-01,2022-11-28
67500,1423,47.44,5,5,2,Central,Fully equipped,0.21,0.17,0.23,0.17,16,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-gedminu-g-ekonomiskas-2-kambariu-butas-renovuotame-name-1-3268958/,1615773.4792424545,-1548273.4792424545,1972-01-01,2022-11-28
98000,1531,64.0,7,9,3,Central,Fully equipped,0.11,0.38,0.24,0.34,15,Klaipėda,Žardininkai,https://en.aruodas.lt/butai-klaipedoje-zardininkuose-zardininku-g-prie-tvenkinio-zardininku-gatveje-parduodamas-1-3259370/,1615971.077357396,-1517971.077357396,1977-01-01,2022-11-28
65000,833,78.0,5,5,3,Central,Partial decoration,0.22,0.37,0.26,0.14,9,Klaipėda,Vingis,https://en.aruodas.lt/butai-klaipedoje-vingio-mikrorajone-vaidaugu-g-parduodamas-3-k-su-holu-butas-butui-1-3255372/,1616868.1525905712,-1551868.1525905712,1980-01-01,2022-11-28
69500,1082,64.21,7,9,3,Central,Fully equipped,0.16,0.49,0.12,0.16,22,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-naujakiemio-g-parduodamas-butas-naujakiemio-gatveje-1-3195086/,1617773.7068652555,-1548273.7068652555,1974-01-01,2022-11-28
50000,1166,42.89,1,2,2,Solid fuel,Fully equipped,0.68,0.86,0.22,0.15,3,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-liepu-g-dvieju-kambariu-butas-liepu-gatveje-kaina-1-3260922/,1618864.8333927412,-1568864.8333927412,1986-01-01,2022-11-28
50000,1000,50.0,2,3,2,Solid fuel,Fully equipped,0.16,0.19,0.34,0.05,8,Klaipėda,Centras,https://en.aruodas.lt/butai-klaipedoje-centre-naujoji-uosto-g-naujojo-uosto-g-salia-limarko-parduodami-du-1-3272112/,1618864.9700379681,-1568864.9700379681,1904-01-01,2022-11-28
72000,1500,48.0,3,5,2,Central thermostat,Partial decoration,0.08,0.36,0.28,0.08,5,Klaipėda,Kaunas,https://en.aruodas.lt/butai-klaipedoje-kauno-mikrorajone-kauno-g-parduodamas-2-kbutas-renovuotame-nameprie-1-3271158/,1618923.7069936688,-1546923.7069936688,1976-01-01,2022-11-28
29999,2000,15.0,1,5,1,Central,Fully equipped,0.27,0.69,0.36,0.37,17,Klaipėda,Poilsis,https://en.aruodas.lt/butai-klaipedoje-poilsyje-rambyno-g-be-bendru-patalpu-rambyno-gatveje-1-3269912/,1620143.6475258763,-1590144.6475258763,1977-01-01,2022-11-28
72000,1548,46.5,5,5,2,Central,Fully equipped,0.11,0.34,0.27,0.32,19,Klaipėda,Naujakiemis,https://en.aruodas.lt/butai-klaipedoje-naujakiemyje-naujakiemio-g-parduodamas-2-kamb-butas-naujakiemio-g-55-1-3267340/,1620273.459848226,-1548273.459848226,1988-01-01,2022-11-28
35000,1400,25.0,2,3,1,Other,Partial decoration,2.4,2.4,1.9,,0,Palanga,Šventoji,https://en.aruodas.lt/butai-palangoje-sventojoje-kalgrauziu-g-nauja-kaina-parduodamos-atskiros-16-1-3272290/,1621028.3896683303,-1586028.3896683303,1991-01-01,2022-11-28
