index,Price,PricePerM2,Area,floor,Number of floors,Room count,Built year,Heating,Equipment,NearestKindergarten,NearestEducational,NearestShop,NearestStop,CrimeRate,City,District,href
56,187370,5320,35.22,2,2,2,2022-01-01,Gas,Fully equipped,0.52,0.23,0.22,0.32,5,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-liepu-tak-parduodami-puikus-sviesus-ka-tik-naujai-1-3259264/
57,170000,3358,50.62,1,4,2,2022-01-01,"Electric, central thermostat",Partial decoration,2.0,2.2,1.7,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-pusys-isskirtines-kokybes-1-3095067/
58,115000,2093,54.95,3,4,2,1986-01-01,Electric,Fully equipped,0.6,0.84,0.37,0.36,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-palangoje-kretingos-g-parduodamas-2-k-butas-palangoje-kretingos-g-1-3249987/
59,98000,2970,33.0,2,4,2,2022-01-01,Central thermostat,Partial decoration,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270270/
60,193200,3645,53.0,4,4,3,2022-01-01,Central thermostat,Fully equipped,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270282/
61,150000,3204,46.82,1,5,2,2019-01-01,Central thermostat,Fully equipped,0.54,0.71,0.33,0.36,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-veziu-g-parduodamas-premium-klases-butas-su-nuostabiu-1-3087225/
62,285900,3700,77.28,1,2,4,2022-01-01,Other,Fully equipped,0.54,0.52,0.13,0.17,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-veziu-g-naujas-kotedzu-kvartalas-veziu-gatveje-1-3180730/
63,175200,3306,53.0,4,4,3,2022-01-01,Central thermostat,Partial decoration,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-wwwsantjagolt-vienas-greiciausiai-1-3270274/
64,98500,3397,29.0,2,4,1,2022-01-01,Central thermostat,Partial decoration,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-wwwsantjagolt-vienas-greiciausiai-1-3268494/
65,144600,3077,47.0,1,4,2,2022-01-01,Central thermostat,Fully equipped,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270280/
66,111700,3723,30.0,4,4,1,2022-01-01,Central thermostat,Fully equipped,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270276/
67,133500,2840,47.0,1,4,2,2022-01-01,Central thermostat,Partial decoration,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-wwwsantjagolt-vienas-greiciausiai-1-3270272/
68,145000,1712,84.71,2,3,4,1985-01-01,Central thermostat,Fully equipped,0.16,0.16,0.12,0.57,1,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-sauletekio-tak-paduodamas-erdvus-patogiai-isplanuotas-4-k-1-3218748/
69,111800,3388,33.0,2,2,2,2022-01-01,Central thermostat,Fully equipped,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270278/
70,200800,3523,57.0,1,4,2,2022-01-01,Central thermostat,Fully equipped,1.4,1.7,1.1,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-svajojate-apie-pajuryje-esancius-prabangius-1-3270580/
71,83182,2200,37.81,2,3,1,2022-01-01,Electric,Partial decoration,0.32,0.46,0.75,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-mokyklos-g-parduodamas-patogaus-isplanavimo-studijos-1-3209137/
72,152100,4346,35.0,2,3,2,2022-01-01,Aerothermal,Fully equipped,3.9,4.2,0.17,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-uzkanaves-g-ar-zinote-kas-cia-graziausia-jura-1-3254477/
73,143350,4096,35.0,2,3,2,2022-01-01,Aerothermal,Partial decoration,3.9,4.2,0.17,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-uzkanaves-g-pasiulymas-yra-galimybe-apartamentus-1-3263812/
74,115000,3446,33.37,8,10,2,1978-01-01,Central,Fully equipped,1.6,1.9,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vytauto-g-parduodamas-2-kambariu-butas-iskirtine-30-1-3270500/
75,280000,5159,54.27,2,3,3,2022-01-01,Gas,Fully equipped,1.5,1.7,1.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vanagupes-g-vanagupes-parkas-vieta-kur-susijungia-1-3178052/
76,389000,7481,52.0,2,3,3,2022-01-01,Electric,Fully equipped,3.9,4.2,0.17,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-uzkanaves-g-ar-zinote-kas-cia-graziausia-jura-1-3253965/
77,89000,2826,31.49,1,2,2,2022-01-01,Electric,Other,4.3,4.5,0.57,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-vaivorykstes-g-vertinantiems-ramu-gyvenima-nedideles-1-3264254/
78,144000,3000,48.0,1,3,2,2022-01-01,Aerothermal,Fully equipped,3.1,3.3,2.2,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-sergiskiu-g-parduodamas-apartamentas-i-aukste-su-didele-1-3259700/
79,148000,2552,58.0,3,3,4,2020-01-01,"Electric, aerothermal",Fully equipped,0.88,1.0,0.6,,0,Palanga,Palanga,https://en.aruodas.lt/butai-palangoje-mokyklos-g-parduodamas-pilnai-irengtas-su-baldais-1-2968609/
